"Group","Ethnicity","%","Pupils"
"Boys: free school meals","All","4.3","33,697"
"Boys: free school meals","Asian","8.1","4,331"
"Boys: free school meals","Bangladeshi","10.0","1,093"
"Boys: free school meals","Indian","11.4","457"
"Boys: free school meals","Pakistani","6.0","2,225"
"Boys: free school meals","Asian other","10.1","556"
"Boys: free school meals","Black","6.4","2,880"
"Boys: free school meals","Black African","8.0","1,774"
"Boys: free school meals","Black Caribbean","2.3","734"
"Boys: free school meals","Black other","6.7","372"
"Boys: free school meals","Chinese","20.5","44"
"Boys: free school meals","Mixed","5.6","2,213"
"Boys: free school meals","Mixed White/Asian","7.8","357"
"Boys: free school meals","Mixed White/Black African","5.6","286"
"Boys: free school meals","Mixed White/Black Caribbean","2.2","811"
"Boys: free school meals","Mixed other","8.2","759"
"Boys: free school meals","White","2.7","22,720"
"Boys: free school meals","White British","2.4","21,285"
"Boys: free school meals","White Irish","6.5","93"
"Boys: free school meals","Gypsy/Roma","0.0","170"
"Boys: free school meals","Irish Traveller","0.0","32"
"Boys: free school meals","White other","9.5","1,140"
"Boys: free school meals","Other","13.4","1,000"
"Boys: free school meals","Unknown","2.0","509"
"Boys: no free school meals","All","14.0","233,209"
"Boys: no free school meals","Asian","19.2","24,201"
"Boys: no free school meals","Bangladeshi","16.4","3,527"
"Boys: no free school meals","Indian","26.9","6,995"
"Boys: no free school meals","Pakistani","11.9","9,411"
"Boys: no free school meals","Asian other","24.7","4,268"
"Boys: no free school meals","Black","11.1","11,454"
"Boys: no free school meals","Black African","13.4","7,369"
"Boys: no free school meals","Black Caribbean","5.8","2,621"
"Boys: no free school meals","Black other","8.9","1,464"
"Boys: no free school meals","Chinese","41.0","859"
"Boys: no free school meals","Mixed","17.2","10,234"
"Boys: no free school meals","Mixed White/Asian","25.0","2,436"
"Boys: no free school meals","Mixed White/Black African","12.8","1,188"
"Boys: no free school meals","Mixed White/Black Caribbean","8.7","2,739"
"Boys: no free school meals","Mixed other","19.5","3,871"
"Boys: no free school meals","White","13.1","179,763"
"Boys: no free school meals","White British","12.8","166,521"
"Boys: no free school meals","White Irish","22.7","739"
"Boys: no free school meals","Gypsy/Roma","0.6","347"
"Boys: no free school meals","Irish Traveller","0.0","23"
"Boys: no free school meals","White other","17.6","12,133"
"Boys: no free school meals","Other","18.7","3,462"
"Boys: no free school meals","Unknown","11.6","3,236"
"Girls: free school meals","All","8.0","32,668"
"Girls: free school meals","Asian","16.1","4,279"
"Girls: free school meals","Bangladeshi","17.0","1,163"
"Girls: free school meals","Indian","20.0","500"
"Girls: free school meals","Pakistani","13.0","2,139"
"Girls: free school meals","Asian other","23.1","477"
"Girls: free school meals","Black","13.9","3,032"
"Girls: free school meals","Black African","17.5","1,865"
"Girls: free school meals","Black Caribbean","6.9","797"
"Girls: free school meals","Black other","11.1","370"
"Girls: free school meals","Chinese","44.4","63"
"Girls: free school meals","Mixed","9.3","2,183"
"Girls: free school meals","Mixed White/Asian","12.2","352"
"Girls: free school meals","Mixed White/Black African","10.3","272"
"Girls: free school meals","Mixed White/Black Caribbean","5.7","803"
"Girls: free school meals","Mixed other","11.2","756"
"Girls: free school meals","White","5.0","21,607"
"Girls: free school meals","White British","4.4","20,172"
"Girls: free school meals","White Irish","10.5","95"
"Girls: free school meals","Gypsy/Roma","0.6","174"
"Girls: free school meals","Irish Traveller","0.0","35"
"Girls: free school meals","White other","15.8","1,131"
"Girls: free school meals","Other","17.9","980"
"Girls: free school meals","Unknown","5.9","524"
"Girls: no free school meals","All","22.6","224,052"
"Girls: no free school meals","Asian","30.3","22,926"
"Girls: no free school meals","Bangladeshi","24.9","3,601"
"Girls: no free school meals","Indian","40.9","6,623"
"Girls: no free school meals","Pakistani","21.5","9,065"
"Girls: no free school meals","Asian other","38.1","3,637"
"Girls: no free school meals","Black","21.6","11,583"
"Girls: no free school meals","Black African","25.0","7,350"
"Girls: no free school meals","Black Caribbean","14.7","2,781"
"Girls: no free school meals","Black other","17.3","1,452"
"Girls: no free school meals","Chinese","52.9","909"
"Girls: no free school meals","Mixed","25.4","10,016"
"Girls: no free school meals","Mixed White/Asian","33.4","2,392"
"Girls: no free school meals","Mixed White/Black African","24.3","1,190"
"Girls: no free school meals","Mixed White/Black Caribbean","15.5","2,740"
"Girls: no free school meals","Mixed other","28.0","3,694"
"Girls: no free school meals","White","21.4","172,590"
"Girls: no free school meals","White British","21.0","159,702"
"Girls: no free school meals","White Irish","33.0","719"
"Girls: no free school meals","Gypsy/Roma","1.0","416"
"Girls: no free school meals","Irish Traveller","0.0","21"
"Girls: no free school meals","White other","26.0","11,732"
"Girls: no free school meals","Other","27.8","3,131"
"Girls: no free school meals","Unknown","17.6","2,897"
