"","16-24","","25-49","","50-64","","All",""
"Ethnicity","%","Number of people employed","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"All","54","3,630,900","85","17,823,900","73","8,972,100","76","30,427,000"
"Asian","34","222,600","75","1,532,300","67","385,100","65","2,140,000"
"Indian","38","65,400","84","652,100","75","181,400","76","898,900"
"Pakistani, Bangladeshi","34","108,300","65","505,600","55","98,600","56","712,400"
"Asian Other","31","48,900","74","374,700","70","105,100","65","528,700"
"Black","37","108,000","78","615,600","75","273,300","69","996,900"
"Mixed","46","75,500","83","243,100","68","48,000","69","366,600"
"White","58","3,180,900","87","15,055,500","73","8,159,200","78","26,395,600"
"White British","58","2,956,700","86","13,080,000","73","7,772,200","77","23,808,800"
"White Other","59","224,200","88","1,975,600","79","387,100","83","2,586,800"
"Other","30","43,300","71","367,300","68","101,600","63","512,200"
